Date	Close	Open	High	Low	Volume	Chg%
Sep 18, 2017	29,561	29,845	29,845	29,550	10.85K	-1.03%
Sep 15, 2017	29,869	30,063	30,096	29,840	11.58K	-0.50%
Sep 14, 2017	30,020	29,831	30,059	29,775	12.39K	0.41%
Sep 13, 2017	29,896	30,011	30,077	29,841	10.61K	-0.19%
Sep 12, 2017	29,953	29,910	29,977	29,830	9.39K	0.04%
Sep 11, 2017	29,942	30,187	30,187	29,888	12.58K	-1.09%
Sep 08, 2017	30,271	30,350	30,470	30,221	13.38K	-0.05%
Sep 07, 2017	30,287	30,050	30,348	30,010	14.46K	0.66%
Sep 06, 2017	30,088	30,200	30,298	30,055	12.40K	-0.46%
Sep 05, 2017	30,226	30,389	30,421	30,010	0.19K	0.17%
Sep 04, 2017	30,174	30,187	30,250	29,800	0.27K	1.30%
Sep 01, 2017	29,788	29,687	29,941	29,671	1.15K	0.11%
Aug 31, 2017	29,756	29,430	29,832	29,421	6.94K	0.73%
Aug 30, 2017	29,540	29,640	29,640	29,405	8.46K	-0.16%
Aug 29, 2017	29,588	29,469	29,810	29,425	11.07K	0.55%
Aug 28, 2017	29,425	29,101	29,440	29,095	9.56K	1.17%
Aug 25, 2017	29,086	29,001	29,134	28,716	7.04K	0.22%
Aug 24, 2017	29,021	29,051	29,107	28,980	7.17K	-0.24%
Aug 23, 2017	29,090	29,063	29,148	29,023	7.27K	0.10%
Aug 22, 2017	29,061	29,200	29,200	28,980	8.75K	-0.56%
Aug 21, 2017	29,224	29,050	29,248	29,030	7.42K	0.40%
Aug 18, 2017	29,109	29,070	29,380	29,013	12.43K	0.05%
Aug 17, 2017	29,093	28,900	29,174	28,800	9.73K	0.74%
Aug 16, 2017	28,878	28,978	28,978	28,727	10.49K	-0.56%
Aug 14, 2017	29,042	29,100	29,116	28,982	7.74K	-0.40%
Aug 11, 2017	29,158	29,147	29,300	29,032	11.32K	0.10%
Aug 10, 2017	29,130	28,845	29,173	28,845	12.40K	1.15%
Aug 09, 2017	28,800	28,415	28,821	28,415	11.58K	1.56%
Aug 08, 2017	28,357	28,416	28,497	28,283	7.40K	-0.22%
Aug 07, 2017	28,419	28,332	28,437	28,320	3.95K	0.16%
Aug 04, 2017	28,373	28,525	28,585	28,355	0.07K	-0.26%
Aug 03, 2017	28,447	28,400	28,500	28,299	0.48K	-0.14%
Aug 02, 2017	28,486	28,451	28,586	28,373	0.58K	-0.10%
Aug 01, 2017	28,514	28,623	28,623	28,447	2.23K	-0.26%
Jul 31, 2017	28,588	28,572	28,628	28,510	6.20K	-0.03%
Jul 28, 2017	28,596	28,533	28,620	28,405	8.24K	0.42%
Jul 27, 2017	28,477	28,455	28,613	28,376	10.46K	0.29%
Jul 26, 2017	28,396	28,462	28,462	28,320	8.09K	-0.33%
Jul 25, 2017	28,490	28,535	28,584	28,410	11.13K	-0.14%
Jul 24, 2017	28,530	28,531	28,612	28,480	7.97K	-0.04%
Jul 21, 2017	28,541	28,333	28,559	28,300	9.54K	0.69%
Jul 20, 2017	28,345	28,220	28,380	28,155	11.27K	0.27%
Jul 19, 2017	28,270	28,270	28,285	28,150	8.47K	-0.04%
Jul 18, 2017	28,280	28,160	28,299	28,160	9.35K	0.47%
Jul 17, 2017	28,147	28,050	28,173	28,050	7.52K	0.45%
Jul 14, 2017	28,022	27,850	28,150	27,753	14.38K	0.55%
Jul 13, 2017	27,868	27,945	27,968	27,851	7.67K	-0.08%
Jul 12, 2017	27,889	27,919	28,033	27,840	10.47K	0.06%
Jul 11, 2017	27,871	27,805	27,929	27,702	11.02K	0.11%
Jul 10, 2017	27,840	27,835	27,887	27,620	13.13K	0.10%
Jul 07, 2017	27,812	28,101	28,140	27,754	16.37K	-1.18%
Jul 06, 2017	28,143	28,200	28,237	28,111	10.57K	0.33%
